"*Dempster's® 100% Whole Grains Breads, Dempster's® Bagels and Dempster's® Tortillas",$5.00,2,,,$2.99,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
30 Month Aged Parmigiano Reggiano Cheese,,1,,,,25% off,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"6"" Cheesecake Topped with Nutella®",$16.99,1,,,,,5,BUY 1 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
All Butter Danish Filled with Nutella®,$6.00,6,,,$1.49,SAVE 2.94 on 6,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Allen's Apple Juice,$3.00,1,,,,SAVE 79¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Antico Organic Pasta Sauce,$3.49,1,,,,SAVE UP TO 1.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Aspen Ridge Lean Ground Beef,$7.99,1,,lb,,SAVE 1.00 /lb,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Astro Yogourt,$2.99,1,,,,each 50 BONUS AIR MILES reward milesSAVE UP TO 1.60,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Aunt Jemima Pancake Mix,$5.00,2,,,,SAVE UP TO 3.58 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Baby Gourmet Pouches,$1.79,1,,,,SAVE UP TO 20¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Babybel Cheese,$7.99,1,,,,SAVE UP TO 2.60,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Barilla Pasta,$1.00,1,,,,SAVE UP TO 1.49,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Becel Margarine,$2.99,1,,,,SAVE UP TO 1.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Belvita Breakfast Cookies,$3.29,1,,,,SAVE UP TO 70¢,5,BUY 2 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Black Diamond Cheestrings,$5.99,1,,,,SAVE UP TO 2.20,5,BUY 2 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Blue Goose Boneless Skinless Chicken Thighs or Split Chicken Breast,$6.99,1,,lb,,,5,BUY 2 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Boursin Fresh Cow Milk Cheese,$4.99,1,,,,SAVE 1.20,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Braided Strudels,$3.00,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
"Breton Popped, Bites or Grissol Crispy Baguettes",$2.00,1,,,,SAVE UP TO 1.49,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Bromeliad,$9.99,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Caledon Farms All Natural Dog Treats,$7.99,1,,,,SAVE UP TO 1.00,5,BUY 1 EARN AIR MILES +5 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Campbell's Everyday Gourmet,$5.00,2,,,,SAVE UP TO 2.18 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Canada Dry* Soft Drinks,$4.50,2,,,,SAVE UP TO 6.48 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Canada Dry* Soft Drinks,$6.00,2,,,,SAVE UP TO 1.58,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Canada Dry* Soft Drinks,$10.00,2,,,,SAVE UP TO 2.98 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Canadian Lamb Shoulder Chops,$6.99,1,,lb,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Cashmere Bathroom Tissue,$11.99,1,,,,SAVE UP TO 3.30,10,BUY 1 EARN AIR MILES +10 rewards miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Cashmere Napkins,$2.99,1,,,,SAVE UP TO 2.00,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Cauliflower,$2.99,1,,,,,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Cesar Home Delights Wet Dog Food,$0.99,1,,,,SAVE UP TO 20¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Cheerios Plus,,1,,,,"BUY ANY 4 PARTICIPATING† GENERAL MILLS CEREALS, SNACKS OR YOGURT, AND GET A 5TH PRODUCT FREE!††",,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Cheez Dippers,$7.99,2,,,,SAVE UP TO 3.40 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Chefboyardee,$4.00,3,,,,SAVE UP TO 1.98 on 3,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Christie Cookies,$1.44,1,,,,SAVE UP TO 2.55,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Christie Go Paks,$5.00,4,,,,SAVE UP TO 96¢ on 4,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Christie Premium Plus Crackers,$3.00,1,,,,SAVE UP TO 99¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Clif Bars,$10.00,10,,,,SAVE UP TO 7.90 on 10,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Clover Leaf or Gold Seal Light Tuna,$4.00,3,,,$1.79,SAVE UP TO 1.38 on 3,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Clover Leaf or GoldSeal Pink Salmon,$2.00,1,,,,SAVE UP TO 49¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Coca-Cola or Pepsi Soft Drinks,$4.50,2,,,,SAVE UP TO 6.48 on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments Balance Frozen Yogourt,$8.00,2,,,,SAVE UP TO 1.98 on 2,10,BUY 2 EARN AIR MILES +10 reward miles,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments Black Forest or Honey Ham,$1.89,1,,100 g,,SAVE 30¢/100 g,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments Broth,$1.00,1,,,,SAVE UP TO 99¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments Cat Food,$2.00,3,,,,or .69 eaSAVE UP TO 30¢ on 3,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments Cheese Bars,$5.99,1,,,,SAVE UP TO $3.20,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments Dips,$2.99,1,,,,SAVE 50¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments Dog Food,$10.49,1,,,,SAVE UP TO 4.80,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments Glass Cleaner,$5.00,2,,,$2.79,SAVE UP TO 98¢ on 2,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments Ice Cream Sandwiches,$3.00,1,,,,SAVE UP TO 59¢,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
Compliments Muffin Mix,$2.00,1,,,,SAVE UP TO 1.59,,,Sobeys  Collingwood,39 Huron St,Collingwood,Ontario,L9Y1C5
