Becel margarine,$3.99,1,12,,$5.99,680/907 g or General Mills cereal 525-720 g selected varieties,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
boneless pork half loin,$1.88,1,,lb,,cryovac pkg  4.14/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Butcher’s Choice® pork sausage,$3.49,1,,lb,,"club size mild, hot or honey garlic  7.69/kg ea.",,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Charmin bathroom tissue,$3.99,1,6,,$11.49,selected varieties 12/16 rolls,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Christie crackers,$1.88,1,12,,$3.19,selected varieties 100-454 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Driscoll’s raspberries,$4,2,,,$2,product of U.S.A. no. 1 grade blackberries product of U.S.A. 170 g or large cauliflower product of Ontario,,2 for $4 or $2 each,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
extra lean ground beef,$4.44,1,,lb,,club size  9.79/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
fresh kebabs,$3.49,1,,lb,,or selected varieties 200 g or pkg of 3 $10.47  7.69/kg ea.,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
fresh rainbow trout fillets,$6.99,1,,lb,,Fresh seafood items subject to availability.  15.41/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
"Janes Pub Style chicken strips, nuggets, burgers or fillets with sauce",$5.99,1,,,,frozen 530/800 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Maynards fun treats candy,$4.99,1,10,,$8.99,562 g or Cadbury assorted chocolate 501 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
"RCA 32"" LED/DVD combo",$207,1,1,,$278,"Built-in DVD, 720p limited quantities, while quantities last Applicable electronics disposal surcharges are extra and vary by province. See store for details.    SATURDAY, AUGUST 8TH NO TAX**   each",,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Schneiders Grill’ems smoked or chicken sausage,$3.99,1,,,,selected varieties or Juicy Jumbos wieners 300-500 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Tide liquid,$9.99,1,6,,$17.49,2.72/ 2.95 L powder 3.1/3.2 kg Gain Flings or Tide pods laundry detergent pkg of 31 or Finish dishwasher detergent pkg of 38-60 selected varieties,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Wonder bread,$4.50,2,,,$2.49,675 g Wonder hamburger or hot dog buns pkg of 8 or English muffins pkg of 6 selected varieties,,2 for $4.50 or $2.49 each,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Becel margarine,$3.99,1,12,,$5.99,680/907 g or General Mills cereal 525-720 g selected varieties,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
boneless pork half loin,$1.88,1,,lb,,cryovac pkg  4.14/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Butcher’s Choice® pork sausage,$3.49,1,,lb,,"club size mild, hot or honey garlic  7.69/kg ea.",,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Charmin bathroom tissue,$3.99,1,6,,$11.49,selected varieties 12/16 rolls,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Christie crackers,$1.88,1,12,,$3.19,selected varieties 100-454 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Driscoll’s raspberries,$4,2,,,$2,product of U.S.A. no. 1 grade blackberries product of U.S.A. 170 g or large cauliflower product of Ontario,,2 for $4 or $2 each,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
extra lean ground beef,$4.44,1,,lb,,club size  9.79/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
fresh kebabs,$3.49,1,,lb,,or selected varieties 200 g or pkg of 3 $10.47  7.69/kg ea.,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
fresh rainbow trout fillets,$6.99,1,,lb,,Fresh seafood items subject to availability.  15.41/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
"Janes Pub Style chicken strips, nuggets, burgers or fillets with sauce",$5.99,1,,,,frozen 530/800 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Maynards fun treats candy,$4.99,1,10,,$8.99,562 g or Cadbury assorted chocolate 501 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
"RCA 32"" LED/DVD combo",$207,1,1,,$278,"Built-in DVD, 720p limited quantities, while quantities last Applicable electronics disposal surcharges are extra and vary by province. See store for details.    SATURDAY, AUGUST 8TH NO TAX**   each",,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Schneiders Grill’ems smoked or chicken sausage,$3.99,1,,,,selected varieties or Juicy Jumbos wieners 300-500 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Tide liquid,$9.99,1,6,,$17.49,2.72/ 2.95 L powder 3.1/3.2 kg Gain Flings or Tide pods laundry detergent pkg of 31 or Finish dishwasher detergent pkg of 38-60 selected varieties,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Wonder bread,$4.50,2,,,$2.49,675 g Wonder hamburger or hot dog buns pkg of 8 or English muffins pkg of 6 selected varieties,,2 for $4.50 or $2.49 each,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
boneless beef rib grilling steak,$16.99,1,,lb,,cut from Platinum Ontario Corn Fed Canada AAA grade beef  37.46/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
chicken breasts,$3.99,1,,lb,,"butcher pack size, bone-in skin-on  8.80/kg",,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
fresh monkfish fillets,$10.99,1,,lb,,24.23/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
fresh sole fillets,$8.99,1,,lb,,or previously frozen  19.82/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
fresh whole Arctic char,$10.99,1,,lb,,24.23/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
From Our Chefs stuffed chicken,$10,1,,,,450 g or chicken breast roast 600 g selected varieties,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
live Atlantic mussels,$4.99,1,,,,907 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Lou’s double smoked or cornmeal back bacon,$5.99,1,,,,375/454 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Marc Angelo gourmet smoked chicken sausage • blue cheese & buffalo sauce • feta & spinach • mozzarella & red pepper,$4.99,1,,,,375 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
marinated chicken or beef tournedos,$2.99,1,,,,selected varieties 150 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
PC ® bacon wrapped Nova Scotian sea scallops,$15.99,1,,,,frozen 340 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
PC ® Black Label Chinese 5 spice seasoning,$4.99,1,,,,90 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
PC ® Black Tiger shrimp,$13.99,1,,,,jumbo 21-30 per lb raw Zipperback ® frozen 400 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
"PC ® Blue Menu ® turkey breast, scaloppine or fillets",$8.99,1,,lb,,fresh Air Chilled boneless skinless  Guiding Star Rating: ★ ★ ★  19.82/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
PC ® lamb loin chops,$11.99,1,,lb,,fresh product of Australia plain or marinated  26.43/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
piri-piri or sweet BBQ chicken drumsticks,$5.99,1,,,,450 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
pork burgers,$3.99,1,,,,selected varieties 500 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
pork sausage,$3.99,1,,,,selected varieties 450/500 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
pork side ribs,$3.99,1,,lb,,cryovac package  $8.80/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Schneiders smoked ham,$11.99,1,,,,selected varieties 800 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
"Sea Delight fish fillets, portions or steaks",$8.99,1,,,,selected varieties frozen 340 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
souvlaki chicken breast kabobs includes free tzatziki,$5.99,1,,,,320 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
VIP lobster meat,$12.99,1,,,,frozen 198 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Becel margarine,$3.99,1,12,,$5.99,680/907 g or General Mills cereal 525-720 g selected varieties,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
boneless pork half loin,$1.88,1,,lb,,cryovac pkg  4.14/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Butcher’s Choice® pork sausage,$3.49,1,,lb,,"club size mild, hot or honey garlic  7.69/kg ea.",,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Charmin bathroom tissue,$3.99,1,6,,$11.49,selected varieties 12/16 rolls,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Christie crackers,$1.88,1,12,,$3.19,selected varieties 100-454 g,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
Driscoll’s raspberries,$4,2,,,$2,product of U.S.A. no. 1 grade blackberries product of U.S.A. 170 g or large cauliflower product of Ontario,,2 for $4 or $2 each,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
extra lean ground beef,$4.44,1,,lb,,club size  9.79/kg,,,Zehrs Alliston, 30 King Street South,Alliston,ON,L9R1H6
